"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"5",-0.038354416,-0.023935255,-0.029522219,-0.008832197,0.0614260605,-0.023756368,1.00,1.00,1.00,0.0007590272
"6",-0.016039638,-0.030373926,-0.007207441,-0.008832197,0.0335503247,-0.008353647,1.00,1.00,1.00,0.0026623471
"7",-0.017372438,-0.033989796,-0.010719175,-0.006653263,0.0000000000,-0.008633737,0.00,1.00,1.00,0.0050107159
"8",-0.025245908,-0.037471761,-0.018364964,-0.006880944,0.0000000000,-0.013503745,0.00,1.00,1.00,0.0051110383
"9",-0.014862207,-0.042556782,-0.006030010,-0.008832197,0.0129454283,-0.006308909,1.00,1.00,1.00,0.0059998457
"10",-0.045160477,-0.043374442,-0.040087138,-0.005073338,0.0000000000,-0.025888689,0.00,1.00,1.00,0.0043128304
"11",-0.030277909,-0.047869195,-0.021445711,-0.008832197,0.0383202259,-0.015960431,1.00,1.00,1.00,0.0019530191
"12",-0.034550814,-0.051914473,-0.025718616,-0.008832197,0.0179230960,-0.018371853,1.00,1.00,1.00,0.0051883962
"13",-0.023981852,-0.055555223,-0.015149654,-0.008832197,0.0228389897,-0.010992751,1.00,1.00,1.00,0.0043973647
"14",-0.080746743,-0.058776409,-0.071970035,-0.008776708,0.0000000000,-0.048275503,0.00,1.00,1.00,0.0059528774
"15",-0.061486595,-0.061730965,-0.052654398,-0.008832197,0.0892985998,-0.035214663,1.00,1.00,0.00,0.0007559553
"16",-0.067351085,-0.064390066,-0.058518888,-0.008832197,0.0590101997,-0.038833068,1.00,1.00,1.00,0.0008130360
"17",-0.071989259,-0.066783257,-0.063157061,-0.008832197,0.0672795176,-0.041666772,1.00,1.00,1.00,0.0006792938
"18",-0.059062042,-0.068937128,-0.050229845,-0.008832197,0.0738924726,-0.032871026,1.00,1.00,1.00,0.0005746598
"19",-0.031821648,-0.070875613,-0.022989451,-0.008832197,0.0539506602,-0.014594423,1.00,1.00,0.00,0.0082438679
"20",-0.014700019,-0.072620249,-0.005867822,-0.008832197,0.0154064511,-0.003047440,1.00,1.00,0.00,0.0056213314
"21",-0.037552001,-0.067953591,-0.034956634,-0.002595367,0.0000000000,-0.018052726,0.00,1.00,1.00,0.0032182248
"22",-0.007692034,-0.069990429,0.0011401633,-0.008832197,0.0223765598,0.0013254773,1.00,1.00,1.00,0.0044881329
"23",-0.028435579,-0.062155603,-0.029271363,0.0008357838,0.0000000000,-0.012248119,0.00,1.00,1.00,0.0017277988
"24",-0.024996502,-0.064772240,-0.016164305,-0.008832197,0.0105884790,-0.010703611,1.00,1.00,1.00,0.0063837099
"25",-0.037726841,-0.066864183,-0.029157673,-0.008569167,0.0000000000,-0.018902548,0.00,1.00,1.00,0.0058603577
"26",-0.017362053,-0.069009962,-0.008529856,-0.008832197,0.0241032041,-0.005194674,1.00,1.00,1.00,0.0042115919
"27",-0.021358842,-0.066374977,-0.017092831,-0.004266011,0.0000000000,-0.007643855,0.00,1.00,1.00,0.0039522045
"28",-0.054807710,-0.065914354,-0.048630835,-0.006176874,0.0000000000,-0.030085901,0.00,1.00,1.00,0.0047961862
"29",-0.061801667,-0.068155116,-0.052969469,-0.008832197,0.0477563370,-0.034768660,1.00,1.00,1.00,0.0010022364
"30",-0.066628961,-0.070171801,-0.057796763,-0.008832197,0.0581649520,-0.037766116,1.00,1.00,1.00,0.0008289488
"31",-0.065420740,-0.071986819,-0.056588543,-0.008832197,0.0649951565,-0.036779284,1.00,1.00,1.00,0.0007181388
"32",-0.056013233,-0.073620334,-0.047181035,-0.008832197,0.0627966921,-0.030367469,1.00,1.00,1.00,0.0007543864
"33",-0.049122922,-0.075090498,-0.040290724,-0.008832197,0.0485318454,-0.025641570,1.00,1.00,1.00,0.0009911353
"34",-0.058579815,-0.076413645,-0.049747618,-0.008832197,0.0383350157,-0.031784668,1.00,1.00,1.00,0.0020071284
"35",-0.026041616,-0.077604478,-0.017209419,-0.008832197,0.0517119716,-0.010052865,1.00,1.00,1.00,0.0009384717
"36",-0.031753051,-0.077932125,-0.023664957,-0.008088094,0.0000000000,-0.013733841,0.00,1.00,1.00,0.0056453997
"37",-0.057059813,-0.078971109,-0.048227616,-0.008832197,0.0137487830,-0.030512327,1.00,1.00,1.00,0.0058908296
"38",0.0028003110,-0.079906196,0.0116325083,-0.008832197,0.0489629806,0.0093483610,1.00,1.00,1.00,0.0009852894
"39",0.0172769826,-0.064837530,0.0101989360,0.0070780466,0.0000000000,0.0190561161,0.00,1.00,1.00,0.0005141454
"40",-0.003992384,-0.043604828,-0.018741333,0.0147489486,0.0000000000,0.0034828165,0.00,1.00,1.00,0.0001311356
"41",0.0087187536,-0.036630041,0.0061044496,0.0026143039,0.0000000000,0.0098791438,0.00,1.00,1.00,0.0009780517
"42",-0.009544992,-0.025300680,-0.017211349,0.0076663576,0.0000000000,-0.002869865,0.00,1.00,1.00,0.0004889183
"43",-0.025182145,-0.025098057,-0.022854699,-0.002327446,0.0000000000,-0.014268723,0.00,1.00,1.00,0.0031169398
"44",-0.036750868,-0.031420449,-0.027918671,-0.008832197,0.0143565623,-0.021933344,1.00,1.00,1.00,0.0057589622
"45",-0.074450616,-0.037110601,-0.065618419,-0.008832197,0.0298804458,-0.046281707,1.00,1.00,1.00,0.0032511569
"46",-0.044244683,-0.042231738,-0.035412486,-0.008832197,0.0838221878,-0.025783821,1.00,1.00,1.00,0.0004348329
"47",-0.019321369,-0.046840762,-0.010489171,-0.008832197,0.0380796455,-0.008813802,1.00,1.00,1.00,0.0019880622
"48",-0.041547094,-0.049206157,-0.034497623,-0.007049471,0.0000000000,-0.023100806,0.00,1.00,1.00,0.0051847132
"49",-0.064590753,-0.053117739,-0.055758556,-0.008832197,0.0325518683,-0.038146341,1.00,1.00,1.00,0.0028567064
"50",-0.037224291,-0.056638162,-0.028392093,-0.008832197,0.0654136677,-0.019655101,1.00,1.00,1.00,0.0007055683
"51",-0.052543454,-0.059806543,-0.043711257,-0.008832197,0.0255195898,-0.029482326,1.00,1.00,1.00,0.0039745625
"52",-0.052496843,-0.062658086,-0.043664646,-0.008832197,0.0463198078,-0.029159336,1.00,1.00,1.00,0.0010250976
"53",-0.035180491,-0.065224475,-0.026348294,-0.008832197,0.0456751462,-0.017410948,1.00,1.00,1.00,0.0010368056
"54",0.0082981179,-0.067534225,0.0171303152,-0.008832197,0.0210365627,0.0116735248,1.00,1.00,1.00,0.0047000834
"55",0.0016674982,-0.051830576,-0.007282728,0.0089502259,0.0000000000,0.0074961479,0.00,1.00,1.00,0.0004205886
"56",0.0072898218,-0.040910709,0.0015530125,0.0057368094,0.0000000000,0.0097192420,0.00,1.00,1.00,0.0005853327
"57",-0.006657696,-0.029295410,-0.014181924,0.0075242280,0.0000000000,-0.000555580,0.00,1.00,1.00,0.0004956498
"58",0.0102744294,-0.026882877,0.0107914375,-0.000517008,0.0000000000,0.0095447293,0.00,1.00,1.00,0.0023312436
"59",-0.009591595,-0.016754608,-0.017031576,0.0074399813,0.0000000000,-0.003816337,0.00,1.00,1.00,0.0005013885
"60",0.0079243963,-0.018130808,0.0109760566,-0.003051660,0.0000000000,0.0068031442,0.00,1.00,1.00,0.0034344136
"61",-0.028645571,-0.011006091,-0.033957207,0.0053116363,0.0000000000,-0.017220250,0.00,1.00,1.00,0.0006101277
4.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",-0.009644821,0.0000000000,-0.009644821,0.0000000000,0.0000000000,-0.006359335,0.00,1.00,1.00,0.0021212147
"3",0.0243465192,-0.005019992,0.0293665112,-0.005019992,0.0000000000,0.0160529329,0.00,1.00,1.00,0.0042967919
"4",0.0387307162,0.0081392584,0.0260734649,0.0126572512,0.0000000000,0.0260185241,0.00,1.00,1.00,0.0002431684
"5",0.0048785645,0.0279187526,-0.015714856,0.0205934201,0.0000000000,0.0024551397,0.00,1.00,1.00,0.0000135704
"6",0.0068989924,0.0271417200,0.0048841498,0.0020148427,0.0000000000,0.0019428452,0.00,1.00,1.00,0.0012739735
"7",0.0156580680,0.0260345581,0.0140510580,0.0016070100,0.0000000000,0.0077757567,0.00,1.00,1.00,0.0014470101
"8",-0.008668040,0.0296553813,-0.014892320,0.0062242791,0.0000000000,-0.008121454,0.00,1.00,1.00,0.0005679754
"9",0.0014903245,0.0203309105,0.0078492572,-0.006358933,0.0000000000,-0.001774752,0.00,1.00,1.00,0.0048863137
"10",-0.001962048,0.0169449436,-0.000609172,-0.001352876,0.0000000000,-0.003183073,0.00,1.00,1.00,0.0027109999
"11",-0.019168172,0.0127757896,-0.016693512,-0.002474660,0.0000000000,-0.014196405,0.00,1.00,1.00,0.0031938800
"12",-0.048095844,0.0026660133,-0.039263646,-0.008832197,0.0139370641,-0.032864853,1.00,1.00,1.00,0.0058083023
"13",-0.021074529,-0.006432785,-0.012242332,-0.008832197,0.0524224240,-0.014140983,1.00,1.00,1.00,0.0009046630
"14",-0.013374605,-0.014621704,-0.004542407,-0.008832197,0.0139635210,-0.008222278,1.00,1.00,1.00,0.0058139290
"15",-0.015057897,-0.019677689,-0.008539742,-0.006518155,0.0000000000,-0.008572498,0.00,1.00,1.00,0.0049524976
"16",-0.006516023,-0.024513832,0.0002878888,-0.006803912,0.0000000000,-0.002459385,0.00,1.00,1.00,0.0050780745
"17",-0.010306626,-0.024064801,-0.008304273,-0.002002353,0.0000000000,-0.004510913,0.00,1.00,1.00,0.0029760504
"18",-0.018325583,-0.025274341,-0.014709563,-0.003616020,0.0000000000,-0.009852213,0.00,1.00,1.00,0.0036783965
"19",-0.005960291,-0.030568844,0.0018616463,-0.007821937,0.0000000000,-0.001567127,0.00,1.00,1.00,0.0055280242
"20",0.0000624097,-0.028828211,0.0013786616,-0.001316252,0.0000000000,0.0029131912,0.00,1.00,1.00,0.0026764091
